iter	Passed	Remaining
161	306	1583
162	307	1581
163	309	1578
164	312	1579
165	313	1576
166	315	1574
167	318	1579
168	320	1574
169	321	1569
170	324	1573
171	327	1574
172	328	1570
173	330	1567
174	335	1583
175	339	1588
176	340	1584
177	342	1580
178	343	1577
179	345	1572
180	347	1572
181	350	1574
182	352	1573
183	354	1570
184	355	1565
185	356	1561
186	358	1558
187	360	1555
188	365	1569
189	367	1565
190	368	1562
191	370	1558
192	371	1554
193	373	1550
194	374	1546
195	375	1542
196	379	1546
197	381	1543
198	382	1539
199	383	1535
200	385	1531
201	386	1527
202	388	1523
203	389	1519
204	393	1525
205	395	1522
206	396	1518
207	398	1515
208	399	1511
209	400	1507
210	402	1504
211	403	1499
212	405	1496
213	409	1502
214	411	1501
215	412	1498
216	415	1497
217	417	1495
218	418	1492
219	420	1489
220	425	1500
221	427	1497
222	428	1494
223	430	1490
224	431	1487
225	433	1484
226	434	1480
227	439	1486
228	441	1485
229	442	1482
230	444	1479
231	445	1475
232	447	1472
233	448	1468
234	450	1465
235	454	1472
236	456	1469
237	457	1465
238	459	1461
239	460	1459
240	462	1455
241	463	1451
242	464	1447
243	468	1451
244	469	1448
245	471	1444
246	472	1440
247	474	1439
248	476	1436
249	477	1432
250	478	1428
251	479	1424
252	483	1428
253	487	1430
254	488	1427
255	489	1423
256	490	1419
257	491	1414
258	493	1410
259	494	1406
260	495	1403
261	499	1405
262	500	1402
263	502	1399
264	503	1395
265	504	1392
266	506	1389
267	507	1386
268	508	1382
269	509	1378
270	515	1385
271	516	1381
272	517	1378
273	518	1374
274	519	1370
275	521	1366
276	522	1362
277	523	1359
278	524	1356
279	527	1357
280	529	1355
281	531	1352
282	532	1348
283	533	1344
284	534	1340
285	535	1337
286	536	1333
287	538	1330
288	539	1326
289	540	1322
290	545	1328
291	546	1324
292	547	1321
293	549	1319
294	551	1318
295	553	1316
296	554	1313
297	558	1315
298	560	1313
299	562	1311
300	563	1309
301	565	1306
302	568	1307
303	570	1306
304	575	1312
305	577	1309
306	579	1307
307	581	1305
308	582	1303
309	584	1300
310	586	1298
311	592	1306
312	594	1305
313	596	1303
314	598	1300
315	599	1298
316	601	1295
317	611	1311
318	613	1310
319	615	1307
320	616	1305
321	623	1312
322	626	1312
323	628	1311
324	630	1308
325	631	1306
326	637	1312
327	642	1315
328	645	1316
329	647	1313
330	650	1315
331	655	1318
332	657	1316
333	661	1320
334	668	1327
335	672	1328
336	674	1327
337	676	1325
338	678	1322
339	681	1323
340	684	1323
341	687	1322
342	689	1319
343	691	1317
344	692	1315
345	694	1312
346	698	1313
347	699	1311
348	701	1308
349	702	1305
350	704	1302
351	707	1301
352	708	1299
353	712	1299
354	713	1296
355	715	1293
356	716	1290
357	718	1287
358	719	1284
359	723	1286
360	727	1286
361	728	1283
362	730	1281
363	731	1278
364	732	1274
365	733	1270
366	734	1267
367	738	1269
368	742	1268
369	743	1265
370	744	1262
371	745	1259
372	747	1255
373	749	1253
374	754	1257
375	755	1254
376	757	1251
377	758	1248
378	759	1245
379	761	1241
380	762	1238
381	763	1234
382	764	1231
383	769	1234
384	773	1235
385	774	1232
386	776	1230
387	778	1227
388	779	1224
389	788	1233
390	791	1232
391	792	1229
392	794	1227
393	800	1231
394	804	1232
395	806	1229
396	808	1227
397	809	1224
398	811	1222
399	820	1230
400	822	1227
401	823	1225
402	825	1222
403	826	1219
404	832	1223
405	835	1222
406	836	1219
407	838	1216
408	839	1213
409	841	1210
410	847	1215
411	850	1214
412	853	1212
413	854	1210
414	856	1207
415	860	1207
416	866	1210
417	868	1209
418	871	1208
419	878	1212
420	881	1211
421	882	1209
422	884	1206
423	886	1203
424	887	1200
425	898	1210
426	899	1207
427	902	1205
428	903	1202
429	913	1210
430	915	1208
431	917	1206
432	919	1203
433	928	1210
434	930	1208
435	931	1205
436	933	1202
437	934	1199
438	945	1208
439	948	1206
440	950	1205
441	954	1204
442	956	1202
443	958	1199
444	959	1196
445	960	1193
446	962	1190
447	970	1195
448	972	1193
449	973	1190
450	975	1187
451	976	1184
452	982	1186
453	985	1185
454	987	1182
455	988	1179
456	990	1176
457	991	1173
458	992	1169
459	1000	1174
460	1002	1171
461	1003	1168
462	1004	1165
463	1005	1161
464	1006	1158
465	1008	1155
466	1012	1155
467	1013	1152
468	1015	1149
469	1016	1146
470	1017	1143
471	1019	1140
472	1020	1136
473	1021	1133
474	1022	1130
475	1023	1126
476	1025	1124
477	1026	1121
478	1028	1118
479	1030	1116
480	1032	1113
481	1033	1110
482	1034	1107
483	1042	1111
484	1044	1108
485	1045	1105
486	1046	1102
487	1048	1099
488	1049	1097
489	1055	1098
490	1056	1095
491	1057	1092
492	1059	1089
493	1060	1085
494	1061	1082
495	1062	1079
496	1063	1076
497	1064	1073
498	1067	1071
499	1072	1072
500	1074	1070
501	1076	1068
502	1078	1065
503	1080	1063
504	1086	1064
505	1089	1063
506	1093	1063
507	1094	1060
508	1096	1058
509	1100	1057
510	1102	1054
511	1103	1052
512	1105	1049
513	1107	1046
514	1108	1044
515	1110	1041
516	1130	1056
517	1132	1053
518	1134	1051
519	1135	1048
520	1137	1046
521	1139	1043
522	1144	1044
523	1146	1041
524	1148	1038
525	1149	1036
526	1151	1033
527	1154	1031
528	1157	1030
529	1159	1028
530	1161	1025
531	1163	1023
532	1165	1020
533	1187	1036
534	1189	1033
535	1191	1031
536	1193	1028
537	1195	1026
538	1197	1024
539	1203	1025
540	1205	1022
541	1207	1020
542	1208	1017
543	1210	1014
544	1212	1011
545	1213	1009
546	1219	1009
547	1221	1007
548	1223	1005
549	1236	1011
550	1237	1008
551	1239	1005
552	1241	1003
553	1244	1001
554	1248	1001
555	1251	999
556	1253	996
557	1255	994
558	1258	992
559	1260	990
560	1272	995
561	1275	993
562	1282	995
563	1284	992
564	1290	993
565	1296	993
566	1298	991
567	1301	989
568	1303	987
569	1305	984
570	1312	985
571	1314	983
572	1318	982
573	1326	984
574	1328	981
575	1330	979
576	1332	976
577	1335	974
578	1337	972
579	1341	971
580	1344	969
581	1347	967
582	1349	965
583	1352	963
584	1359	964
585	1360	961
586	1362	958
587	1364	956
588	1366	953
589	1373	954
590	1376	952
591	1378	949
592	1380	947
593	1383	945
594	1388	945
595	1390	942
596	1392	939
597	1393	936
598	1395	934
599	1396	931
600	1399	928
601	1407	930
602	1409	927
603	1411	925
604	1418	926
605	1420	923
606	1422	921
607	1424	918
608	1427	916
609	1431	915
610	1435	913
611	1438	912
612	1442	910
613	1456	915
614	1458	912
615	1471	917
616	1473	914
617	1474	911
618	1480	910
619	1489	912
620	1490	909
621	1496	909
622	1498	907
623	1500	904
624	1502	901
625	1504	899
626	1507	896
627	1515	897
628	1517	895
629	1519	892
630	1521	889
631	1525	888
632	1528	886
633	1533	885
634	1535	882
635	1537	879
636	1542	878
637	1544	876
638	1547	873
639	1549	871
640	1550	868
641	1552	865
642	1553	862
643	1557	861
644	1560	858
645	1562	855
646	1563	852
647	1565	850
648	1567	847
649	1572	846
650	1574	844
651	1576	841
652	1579	839
653	1580	836
654	1582	833
655	1583	830
656	1589	829
657	1593	828
658	1594	825
659	1596	822
660	1597	819
661	1599	816
662	1605	816
663	1607	813
664	1609	810
665	1610	807
666	1612	804
667	1617	803
668	1619	801
669	1621	798
670	1623	795
671	1624	793
672	1626	790
673	1627	787
674	1629	784
675	1631	781
676	1632	779
677	1634	776
678	1637	774
679	1639	771
680	1640	768
681	1647	768
682	1649	765
683	1651	762
684	1653	760
685	1654	757
686	1656	754
687	1661	753
688	1662	750
689	1665	748
690	1667	745
691	1668	742
692	1670	739
693	1671	737
694	1675	735
695	1678	733
696	1680	730
697	1683	728
698	1685	725
699	1687	723
700	1689	720
701	1691	718
702	1694	715
703	1696	713
704	1698	710
705	1702	709
706	1705	706
707	1707	704
708	1709	701
709	1711	699
710	1713	696
711	1720	696
712	1722	693
713	1726	691
714	1727	688
715	1729	685
716	1732	683
717	1734	681
718	1736	678
719	1740	676
720	1743	674
721	1756	676
722	1759	673
723	1761	671
724	1765	669
725	1769	667
726	1773	665
727	1774	663
728	1786	664
729	1790	662
730	1794	660
731	1796	657
732	1800	655
733	1802	653
734	1804	650
735	1806	648
736	1816	648
737	1820	646
738	1822	643
739	1832	643
740	1839	642
741	1849	642
742	1851	640
743	1853	637
744	1854	634
745	1861	633
746	1863	631
747	1865	628
748	1868	626
749	1870	623
750	1878	622
751	1880	620
752	1882	617
753	1883	614
754	1885	611
755	1888	609
756	1892	607
757	1895	605
758	1897	602
759	1899	599
760	1901	597
761	1910	596
762	1911	593
763	1913	591
764	1915	588
765	1916	585
766	1922	584
767	1924	581
768	1926	578
769	1929	576
770	1941	576
771	1944	574
772	1945	571
773	1946	568
774	1948	565
775	1954	564
776	1956	561
777	1958	558
778	1959	556
779	1961	553
780	1962	550
781	1969	549
782	1971	546
783	1972	543
784	1974	540
785	1975	537
786	1976	534
787	1977	532
788	1980	529
789	1983	527
790	1985	524
791	1987	521
792	1988	519
793	1990	516
794	1991	513
795	1992	510
796	1999	509
797	2001	506
798	2003	504
799	2005	501
800	2006	498
801	2007	495
802	2010	493
803	2013	490
804	2015	488
805	2017	485
806	2018	482
807	2020	480
808	2021	477
809	2022	474
810	2031	473
811	2034	471
812	2036	468
813	2038	465
814	2041	463
815	2043	460
816	2045	458
817	2047	455
818	2049	452
819	2051	450
820	2052	447
821	2053	444
822	2061	443
823	2062	440
824	2064	437
825	2065	435
826	2067	432
827	2068	429
828	2072	427
829	2074	424
830	2076	422
831	2078	419
832	2080	417
833	2082	414
834	2083	411
835	2091	410
836	2093	407
837	2095	405
838	2097	402
839	2098	399
840	2102	397
841	2106	395
842	2108	392
843	2111	390
844	2113	387
845	2115	385
846	2119	382
847	2120	380
848	2123	377
849	2124	374
850	2126	372
851	2130	370
852	2134	367
853	2136	365
854	2138	362
855	2140	360
856	2145	358
857	2149	355
858	2150	353
859	2152	350
860	2154	347
861	2156	345
862	2165	343
863	2167	341
864	2170	338
865	2172	336
866	2176	333
867	2179	331
868	2180	328
869	2182	326
870	2184	323
871	2189	321
872	2190	318
873	2192	316
874	2193	313
875	2195	310
876	2196	308
877	2198	305
878	2199	302
879	2205	300
880	2207	298
881	2209	295
882	2210	292
883	2212	290
884	2213	287
885	2214	284
886	2221	282
887	2223	280
888	2225	277
889	2227	275
890	2228	272
891	2229	269
892	2231	267
893	2232	264
894	2234	262
895	2235	259
896	2237	256
897	2238	254
898	2239	251
899	2240	248
900	2242	246
901	2243	243
902	2247	241
903	2248	238
904	2250	236
905	2251	233
906	2252	230
907	2253	228
908	2254	225
909	2256	223
910	2257	220
911	2258	217
912	2262	215
913	2263	213
914	2265	210
915	2266	207
916	2267	205
917	2268	202
918	2270	200
919	2271	197
920	2272	194
921	2273	192
922	2277	190
923	2279	187
924	2280	184
925	2281	182
926	2283	179
927	2286	177
928	2287	174
929	2289	172
930	2292	169
931	2293	167
932	2295	164
933	2296	162
934	2297	159
935	2298	157
936	2300	154
937	2301	152
938	2302	149
939	2303	147
940	2307	144
941	2308	142
942	2311	139
943	2312	137
944	2313	134
945	2315	132
946	2316	129
947	2317	127
948	2318	124
949	2322	122
950	2325	119
951	2326	117
952	2328	114
953	2329	112
954	2330	109
955	2332	107
956	2333	104
957	2334	102
958	2338	99
959	2339	97
960	2341	95
961	2342	92
962	2343	90
963	2344	87
964	2345	85
965	2347	82
966	2348	80
967	2352	77
968	2354	75
969	2356	72
970	2358	70
971	2359	67
972	2360	65
973	2361	63
974	2363	60
975	2364	58
976	2368	55
977	2370	53
978	2371	50
979	2372	48
980	2374	45
981	2375	43
982	2376	41
983	2378	38
984	2382	36
985	2384	33
986	2385	31
987	2386	28
988	2388	26
989	2390	24
990	2391	21
991	2392	19
992	2393	16
993	2398	14
994	2399	12
995	2400	9
996	2402	7
997	2403	4
998	2404	2
999	2405	0
